TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r,COKEY,CHKEY
0,10,,14.11,1.3,,2970077,7948584
64,74,,,,,2970077,7948585
10,30,,4.0,1.35,,2970077,8031901
30,48,,4.0,1.35,,2970077,8115218
48,64,,4.0,1.35,,2970077,8198534
69,107,,1.41,1.38,,2970078,7948590
0,23,,4.0,1.3,,2970078,8031906
107,163,,14.11,1.3,,2970078,8031907
23,33,,4.0,1.3,,2970078,8115223
33,69,,1.41,1.38,,2970078,8198539
0,41,,42.34,1.35,,2970079,8031911
41,91,,42.34,1.4,,2970079,8115228
91,178,,42.34,1.6,,2970079,8198544
0,20,,14.11,1.45,,2970083,7948608
91,152,,14.11,1.45,,2970083,8031925
46,91,,14.11,1.45,,2970083,8115242
20,46,,14.11,1.45,,2970083,8198558
23,56,,0.42,,,2970085,7948617
56,152,,0.42,,,2970085,8031934
0,23,,0.42,,,2970085,8198566
0,18,,4.2343,1.23,,2969250,7945862
18,51,,1.4114,1.38,,2969250,8029179
51,97,,4.2343,1.38,,2969250,8112496
97,107,,,,,2969250,8195812
0,33,,4.2343,1.33,,2969243,7945840
142,152,,14.1143,1.5,,2969243,7945841
33,61,,4.2343,1.48,,2969243,8029157
61,107,,1.4114,1.48,,2969243,8112474
107,142,,1.4114,1.5,,2969243,8195790
0,30,,4.2343,1.3,,2969242,7945836
30,58,,14.1143,1.45,,2969242,8029153
58,91,,42.343,1.5,,2969242,8112470
91,102,,,,,2969242,8195786
43,152,,1.4114,1.38,,2969241,7945833
0,20,,4.2343,1.23,,2969241,8112466
20,43,,4.2343,1.3,,2969241,8195782
94,152,,42.343,1.43,,2969240,8112464
0,41,,4.2343,1.4,,2969240,8195779
41,64,,4.2343,1.4,,2969240,7945830
64,94,,14.1143,1.43,,2969240,8029147
30,81,,1.4114,1.35,,2969239,7945827
81,91,,,,,2969239,8029144
0,30,,4.2343,1.3,,2969239,8195776
0,94,,4.2343,1.15,,2969238,8029141
94,152,,0.4234,1.65,,2969238,8112458
61,152,,4.2343,1.33,,2969237,7945822
0,61,,4.2343,1.2,,2969237,8195771
112,152,,141.1433,1.58,,2969228,7945788
0,30,,4.2343,1.23,,2969228,8029104
30,69,,4.2343,1.38,,2969228,8112421
69,112,,14.1143,1.43,,2969228,8195737
20,89,,0.4234,1.18,,2968808,7944462
89,152,,1.4114,1.2,,2968808,8027779
0,20,,1.4114,1.18,,2968808,8194411
0,30,,4.2343,1.23,,2968807,7944459
30,109,,0.4234,1.23,,2968807,8027776
109,119,,,,,2968807,8111093
13,33,,0.4234,1.35,,2968802,7944445
33,152,,1.4114,1.25,,2968802,8027762
0,13,,4.2343,1.2,,2968802,8194394
99,193,,4.2343,1.28,,2968801,7944442
0,23,,4.2343,1.23,,2968801,8111075
23,99,,4.2343,1.23,,2968801,8194391
0,152,,141.1433,2.15,,2967901,8024912
71,81,,0.0,,,2967590,7940613
0,15,,4.2343,1.3,,2967590,8107246
15,71,,4.2343,1.5,,2967590,8190562
0,10,,4.2343,1.3,,2965865,7935133
10,33,,4.2343,1.5,,2965865,8018450
33,58,,4.2343,1.6,,2965865,8101767
58,152,,4.2343,1.6,,2965865,8185083
71,152,,4.2343,1.5,,2965864,7935130
0,15,,4.2343,1.2,,2965864,8018446
15,46,,4.2343,1.5,,2965864,8101763
46,71,,1.4114,1.5,,2965864,8185079
33,58,,1.41,1.45,,2970086,7948619
58,69,,,,,2970086,8031936
0,13,,14.11,1.65,,2970086,8115252
13,33,,1.41,1.45,,2970086,8198568
10,152,,141.14,1.65,,2970087,7948622
0,10,,141.14,1.65,,2970087,8198571
0,46,,4.0,,,2970088,7948624
46,152,,141.14,1.6,,2970088,8031941
13,64,,4.0,1.3,,2970089,7948627
64,152,,4.0,1.25,,2970089,8031944
0,13,,4.0,1.28,,2970089,8198576
18,152,,4.0,1.55,,2970090,7948630
0,18,,4.0,1.55,,2970090,8198579
30,91,,4.0,1.5,,2970091,7948633
91,102,,,,,2970091,8031950
0,30,,14.11,1.5,,2970091,8198582
0,20,,14.11,1.55,,2970092,8115269
20,30,,,,,2970092,8198585
46,94,,4.0,1.35,,2970095,7948643
94,152,,4.0,1.48,,2970095,8031960
0,46,,4.0,1.18,,2970095,8198592
91,124,,14.11,1.5,,2970096,7948646
124,147,,141.14,1.65,,2970096,8031963
0,30,,4.0,1.25,,2970096,8115279
30,91,,4.0,1.43,,2970096,8198595
0,20,,1.41,1.53,,2970099,7948654
20,152,,1.41,1.58,,2970099,8031971
0,18,,4.0,1.4,,2970100,8115290
18,64,,14.11,1.48,,2970100,8198606
64,81,,4.0,1.38,,2970100,7948657
81,152,,141.14,1.6,,2970100,8031974
0,30,,14.11,1.5,,2970101,7948660
99,109,,,,,2970101,7948661
30,79,,14.11,1.35,,2970101,8031977
79,89,,14.11,1.35,,2970101,8115294
89,99,,,,,2970101,8198610
0,15,,1.41,1.48,,2970102,7948664
15,152,,0.42,1.6,,2970102,8031981
114,152,,141.14,1.65,,2970103,7948667
0,10,,4.0,1.3,,2970103,8115300
10,114,,4.0,1.5,,2970103,8198616
48,56,,0.42,1.4,,2970104,7948670
56,66,,,,,2970104,8031987
0,8,,1.41,1.35,,2970104,8115303
8,48,,0.42,1.4,,2970104,8198619
0,15,,14.11,1.45,,2970108,8031998
15,61,,14.11,1.5,,2970108,8115315
61,86,,,,,2970108,8198631
0,46,,1.41,1.45,,2970114,7948700
46,71,,1.41,1.5,,2970114,8032017
71,97,,0.42,1.53,,2970114,8115334
97,152,,0.42,1.58,,2970114,8198650
0,8,,4.0,1.35,,2970115,7948704
8,46,,1.41,1.45,,2970115,8032021
46,61,,,,,2970115,8115338
61,71,,,,,2970115,8198654
20,38,,4.0,1.48,,2970116,7948709
38,46,,,,,2970116,8032026
0,8,,4.0,1.43,,2970116,8115342
