textureName,CHtxtgrpKEY,CHTXTKEY,CHKEY,AvaWaterCon,MUKEY,ComponentPercent,MajorComponent,COKEY,TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r
Loam,15424987,15644055,8220160,0,661700,9,Yes,3002693,8,33,,4.0,1.35,
Loam,15721330,15568403,8220160,0,661700,9,Yes,3002693,8,33,,4.0,1.35,
Loam,15573159,15833240,8220160,0,661700,9,Yes,3002693,8,33,,4.0,1.35,
Sandy clay loam,15424988,15795399,8220161,0,661700,2,Yes,3028600,20,66,,1.41,1.48,
Clay loam,15276816,15757577,8220161,0,661700,2,Yes,3028600,20,66,,1.41,1.48,
Clay loam,15425002,15492715,8220190,0,661852,6,Yes,3054514,15,46,,1.41,1.5,
Clay loam,15276830,15606237,8220190,0,661852,6,Yes,3054514,15,46,,1.41,1.5,
Sandy clay loam,15573174,15681900,8220190,0,661852,6,Yes,3054514,15,46,,1.41,1.5,
,15425003,15644059,8220193,0,661857,6,Yes,3028609,99,109,,,,
,15425004,15795403,8220197,0,661855,11,Yes,2976797,0,152,,,,
Silty clay,15425018,15644063,8220231,0,661879,3,Yes,2976806,23,61,,0.42,1.3,
Silty clay loam,15276846,15606241,8220231,0,661879,3,Yes,2976806,23,61,,0.42,1.3,
Clay,15573190,15681904,8220231,0,661879,3,Yes,2976806,23,61,,0.42,1.3,
Clay loam,15425019,15795407,8220233,0,661883,3,Yes,3028620,38,99,,0.42,1.5,
Silty clay loam,15276847,15757585,8220233,0,661883,3,Yes,3028620,38,99,,0.42,1.5,
Clay,15573191,15833248,8220233,0,661883,3,Yes,3028620,38,99,,0.42,1.5,
Clay loam,15425020,15946751,8220234,0,661883,4,Yes,3054526,61,152,,1.41,1.38,
Loam,15721362,15568411,8220234,0,661883,4,Yes,3054526,61,152,,1.41,1.38,
Clay loam,15276848,15908929,8220234,0,661883,4,Yes,3054526,61,152,,1.41,1.38,
Loam,15425021,15492720,8220238,0,661885,5,Yes,2976808,0,15,,4.23,1.3,
Sandy clay loam,15425022,15644064,8220240,0,661886,29,Yes,3054528,25,81,,1.41,1.4,
Sandy clay loam,15721365,16022443,8220240,0,661886,29,Yes,3054528,25,81,,1.41,1.4,
Sandy clay loam,15573194,15833249,8220240,0,661886,29,Yes,3054528,25,81,,1.41,1.4,
Silt loam,15426589,15493124,8223999,0,661653,5,No ,3055711,23,160,,1.4114,1.48,
Clay loam,15722932,15720160,8223999,0,661653,5,No ,3055711,23,160,,1.4114,1.48,
Silty clay loam,15574761,15682308,8223999,0,661653,5,No ,3055711,23,160,,1.4114,1.48,
Silt loam,15426590,15644468,8224001,0,661655,31,No ,3055712,0,18,,4.2343,1.3,
,15426591,15795812,8224004,0,661660,2,No ,3029807,130,140,,,,
Sand,15426592,15947156,8224006,0,661661,44,No ,3003901,38,152,,42.343,1.6,
Loamy fine sand,15722934,16022848,8224006,0,661661,44,No ,3003901,38,152,,42.343,1.6,
Fine sand,15278420,15909335,8224006,0,661661,44,No ,3003901,38,152,,42.343,1.6,
Clay,15426606,15644472,8224043,0,661906,27,No ,3055726,122,152,,0.0,,
Silt loam,15426607,15795816,8224047,0,661951,4,No ,3003915,0,33,,4.2343,0.73,
Sandy loam,15426608,15947160,8224050,0,661951,11,No ,2978009,33,46,,14.1143,1.2,
Sandy loam,15574780,15530969,8224050,0,661951,11,No ,2978009,33,46,,14.1143,1.2,
Silt loam,15426609,15493129,8224053,0,661952,26,No ,3055729,5,38,,4.2343,0.78,
Silt loam,15574781,15682313,8224053,0,661952,26,No ,3055729,5,38,,4.2343,0.78,
Loam,15426623,15795820,8224085,0,662007,1,No ,3003926,0,56,,4.2343,0.9,
Silt loam,15426624,15947164,8224087,0,662008,39,No ,3055739,84,152,,0.0,1.63,
Silty clay loam,15278452,15606656,8224087,0,662008,39,No ,3055739,84,152,,0.0,1.63,
Very fine sandy loam,15426625,15493133,8224089,0,662017,30,No ,3029834,53,102,,42.343,1.63,
Sandy loam,15722967,15720169,8224089,0,662017,30,No ,3029834,53,102,,42.343,1.63,
Loamy sand,15278453,15758000,8224089,0,662017,30,No ,3029834,53,102,,42.343,1.63,
Loam,15426626,15644477,8224092,0,662025,2,No ,3029835,15,43,,4.2343,1.38,
Loam,15574798,15833661,8224092,0,662025,2,No ,3029835,15,43,,4.2343,1.38,
Silt loam,15426639,15795824,8224127,0,662085,1,No ,3055752,15,41,,4.2343,0.75,
Silt loam,15574811,15985008,8224127,0,662085,1,No ,3055752,15,41,,4.2343,0.75,
Sandy loam,15426640,15947168,8224130,0,662087,14,No ,3029847,127,152,,14.1143,1.4,
Loam,15574812,15530977,8224130,0,662087,14,No ,3029847,127,152,,14.1143,1.4,
Sandy loam,15426641,15493137,8224131,0,662087,4,No ,3055753,66,152,,14.1143,1.5,
Sandy loam,15722983,15720173,8224131,0,662087,4,No ,3055753,66,152,,14.1143,1.5,
Sandy loam,15278469,15758004,8224131,0,662087,4,No ,3055753,66,152,,14.1143,1.5,
Sandy loam,15426642,15644481,8224133,0,662089,5,No ,3029848,66,152,,14.1143,1.5,
Sandy loam,15722984,15871517,8224133,0,662089,5,No ,3029848,66,152,,14.1143,1.5,
Sandy loam,15278470,15909348,8224133,0,662089,5,No ,3029848,66,152,,14.1143,1.5,
Silt loam,15426643,15795825,8224136,0,662090,5,No ,3029849,8,38,,4.2343,0.75,
Silt loam,15574815,15985009,8224136,0,662090,5,No ,3029849,8,38,,4.2343,0.75,
Loam,15427512,15644703,8225977,0,664304,4,No ,3004501,79,152,,4.2343,1.4,
Silt loam,15575684,15682543,8225977,0,664304,4,No ,3004501,79,152,,4.2343,1.4,
Loam,15427610,15493384,8226181,0,664402,10,No ,3030469,25,61,,4.2343,1.6,
Clay loam,15723953,16023108,8226181,0,664402,10,No ,3030469,25,61,,4.2343,1.6,
Sandy loam,15575782,15682568,8226181,0,664402,10,No ,3030469,25,61,,4.2343,1.6,
,15427611,15644728,8226183,0,664402,2,No ,2978656,71,81,,,,
Loam,15427693,15644749,8226371,0,664496,25,No ,3004619,117,178,,4.2343,1.55,
Sandy loam,15279521,15606928,8226371,0,664496,25,No ,3004619,117,178,,4.2343,1.55,
Loam,15575865,15985277,8226371,0,664496,25,No ,3004619,117,178,,4.2343,1.55,
Loam,15427694,15796093,8226372,0,664496,16,No ,3030526,117,178,,4.2343,1.55,
Sandy loam,15724036,16023129,8226372,0,664496,16,No ,3030526,117,178,,4.2343,1.55,
Loam,15279522,15758272,8226372,0,664496,16,No ,3030526,117,178,,4.2343,1.55,
Loam,15427844,15493444,8226700,0,664654,2,No ,2978812,10,33,,4.2343,1.5,
Clay loam,15279672,15909654,8226700,0,664654,2,No ,2978812,10,33,,4.2343,1.5,
Loam,15576016,15985315,8226700,0,664654,2,No ,2978812,10,33,,4.2343,1.5,
Sandy loam,15432138,15797229,8236038,0,674308,15,Yes,3007660,10,25,,42.343,1.5,
Sandy loam,15283966,15608068,8236038,0,674308,15,Yes,3007660,10,25,,42.343,1.5,
Sandy loam,15432139,15948573,8236042,0,674312,41,Yes,3007661,69,163,,14.1143,1.45,
Silty clay loam,15432756,15646041,8237457,0,675765,2,No ,3008097,66,152,,1.4114,1.33,
Silt loam,15284584,15759569,8237457,0,675765,2,No ,3008097,66,152,,1.4114,1.33,
Silty clay loam,15432757,15797385,8237460,0,675767,1,No ,3008098,43,152,,1.4114,1.38,
Silt loam,15432758,15948729,8237462,0,675768,2,No ,2982192,74,89,,4.2343,1.35,
