ksat_r_WtAvg,MUKEY
19.1914448787,661901
21.8726521361,661902
22.7223763573,661903
7.69024435969,661904
8.10182819784,661905
29.6378521381,661906
9.80338175751,661907
3.30663313312,661908
9.24618207857,661909
2.09031868981,661910
14.5761884157,661911
11.7587408853,661912
9.22666396109,661913
4.57810165787,661914
1.24928375069,661915
1.75749282132,661916
2.07832716584,661917
2.49289679715,661918
1.60967511313,661919
20.1828571429,661920
3.02133136974,661921
27.4156671366,661922
19.4028947368,661923
8.35862561341,661924
15.0975876908,661925
18.0085921053,661926
13.1590510367,661927
4.46741721845,661928
9.68920201081,661929
1.40099993741,661930
1.14599858354,661931
4.06236490329,661932
14.8559393906,661933
4.05060237208,661934
3.16663735152,661935
9.84553852113,661936
4.1977045277,661937
24.4919124305,661938
10.8608139583,661939
4.31834767315,661940
2.76990896588,661941
19.3832122471,661942
11.5600840985,661943
18.1718752537,661944
48.4773770492,661946
52.0463934426,661947
13.6460655738,661948
3.51147540984,661949
14.0825901639,661950
14.4865759738,661951
7.7876735656,661952
10.6757380589,661953
7.83491938435,661954
9.03343858425,661955
2.964003,661956
10.726868,661957
1.81337752878,661958
3.64810247795,661959
3.42991035969,661960
7.34242257432,661961
0.609651005154,661962
1.21481791805,661963
2.99184892784,661964
2.62244027055,661965
5.70481757258,661966
1.76249275176,661967
1.98002676032,661968
2.63666731322,661969
1.77036503569,661970
1.56518268496,661971
2.15097232134,661972
1.81505399587,661973
3.4185446483,661974
3.93857911875,661975
1.269822505,661976
1.60590945082,661977
8.55704596984,661978
1.95748908805,661979
2.16430928466,661980
1.82349890749,661981
3.41292218052,661982
1.68251667526,661983
4.53637483474,661984
11.6202996558,661985
11.8993892296,661986
10.1300875956,661987
6.51728895963,661988
5.12894017391,661989
2.06749059417,661990
2.99138598107,661991
2.56845129562,661992
3.01497898149,661993
2.26406859732,661994
1.65999219559,661995
4.26180445209,661996
4.59732433592,661997
5.80037117589,661998
8.06287466072,661999
3.26646270918,662000
7.56345279204,662001
2.60421956693,662002
0.947684811601,662003
1.56431549938,662004
3.08262325768,662005
2.76289561132,662006
21.9065146518,662007
1.91221669119,662008
2.44687819217,662009
2.56650346826,662010
9.46569502075,662011
8.73341775539,662012
4.40797994834,662013
3.43813469685,662014
2.81513910954,662015
3.14584639124,662016
6.90041954774,662017
2.08924798733,662018
11.986480225,662019
12.9161331663,662020
3.48344358077,662021
1.46606181893,662022
1.92886558887,662023
3.43578362655,662024
1.59914985271,662025
2.35221411918,662026
2.16953970732,662027
4.43530631322,662028
15.2315179614,662029
21.325348196,662030
10.5287596701,662031
5.04219816674,662032
3.24982716015,662033
3.37707178368,662034
2.43359643609,662035
5.13796959685,662036
4.26968967405,662037
1.91332940215,662038
1.59498870453,662039
2.22064134712,662040
2.91771212845,662041
11.2533525647,662042
9.30766526246,662043
3.79278688525,662044
4.21244980055,662045
11.7590579579,662046
1.74264680989,662047
2.61822690493,662048
2.47266917617,662049
7.81914668215,662050
16.0984691786,662051
10.4436932151,662052
13.1397091734,662053
10.3618588969,662054
7.83457751077,662055
11.2631929074,662056
9.03611696988,662057
6.55614509893,662058
32.058427914,662059
11.1330759658,662060
10.0359032444,662061
22.3402779575,662062
8.41138077121,662063
25.0643578023,662064
17.906793126,662065
11.4578165271,662066
5.52787737914,662067
2.98632101255,662068
2.6989779631,662069
30.0650132368,662070
4.26077181361,662071
6.85413572464,662072
4.3914648363,662073
3.86304851918,662074
7.96287977808,662075
10.597745313,662076
4.04491399713,662077
1.6890691646,662078
2.36963595066,662079
1.04324076557,662080
0.623181747028,662081
1.5797817228,662083
3.12345978636,662084
14.1508875869,662085
11.7217499138,662086
10.6436216804,662087
8.61544367721,662088
11.3691903269,662089
11.7499720966,662090
6.5173486755,662091
5.30527977103,662092
4.3914648363,664152
5.50459,664228
5.1147420235,664230
4.60602299456,664235
9.4751606451,664293
6.97696883513,664295
3.1993995806,664304
4.83597517902,664345
8.13113370968,664364
7.641506844,664399
7.78045161061,664402
8.1735526129,664446
16.0507307195,664447
10.0284976604,664448
5.349327,664461
4.022585,664462
3.69703726082,664496
1.905435,664501
4.5768516726,664504
15.9580146327,664539
4.34540073665,664612
5.45839453405,664614
4.31028311503,664627
13.3144037754,664646
4.784757,664654
3.77711392999,664662
4.04535697837,664663
5.30281482379,664691
5.06315781155,666910
37.9500790559,666911
4.16096688401,666912
8.045161,666913
8.96186823259,666914
1.50557713729,667041
1.47014329487,670344
48.0212797483,670345
44.5916968985,670346
3.28233421907,670347
4.84835692944,670418
23.693234641,670484
5.22378676077,670800
17.5986298736,674303
13.3972733422,674305
13.1221227657,674308
3.6075415859,674311
6.15740707071,674312
3.63345068381,674313
1.96872046976,674316
2.70994,674330
2.04926842105,674331
2.22166548491,674333
0.902296101411,674336
4.11093803649,674338
3.72808956217,674345
32.9297333234,675751
3.07351567288,675765
2.21216391987,675766
2.72823401058,675767
5.55674783919,675768
51.8170356807,675769
2.006530462,675770
13.0081688045,675772
3.27349034163,675780
5.98211957119,677003
7.337745996,677004
11.603716461,677007
23.7398200811,677069
5.49051776105,677071
3.92456826295,677076
