ComponentPercent,MajorComponent,MUKEY,COKEY
5,Yes,661685,2970058
32,Yes,661686,2976535
18,Yes,661686,3060731
9,Yes,661686,3015395
35,Yes,661686,2995965
6,Yes,661686,3021872
18,Yes,661687,2983012
34,Yes,661687,3047778
18,Yes,661687,3002442
6,Yes,661687,3028349
24,Yes,661687,3041302
2,No ,661688,2965046
8,No ,661688,2997429
20,No ,661688,2971523
1,No ,661688,2984476
5,No ,661688,3049242
5,No ,661688,3062195
24,No ,661688,3042765
14,No ,661688,3029813
7,No ,661688,3036289
4,No ,661688,2990953
1,No ,661688,3023336
4,No ,661688,3003906
5,No ,661688,2977999
19,Yes,661689,3067208
12,Yes,661689,3054255
8,Yes,661689,2989489
19,Yes,661689,2970059
32,Yes,661689,3008919
10,Yes,661689,3034826
2,Yes,661690,3047779
12,Yes,661690,3060732
3,Yes,661690,2983013
5,Yes,661690,3015396
34,Yes,661690,2995966
1,Yes,661690,3008920
2,Yes,661690,3041303
2,Yes,661690,3028350
5,Yes,661690,3021873
3,Yes,661690,3002443
31,Yes,661690,2976536
16,Yes,661691,2970061
22,Yes,661691,3067210
17,Yes,661691,3054257
25,Yes,661691,3008921
10,Yes,661691,3034828
10,Yes,661691,3055719
2,Yes,661692,3067211
5,Yes,661692,3021875
2,Yes,661692,3054258
3,Yes,661692,2983015
2,Yes,661692,2970062
5,Yes,661692,3002445
8,Yes,661692,3060734
7,Yes,661692,3015398
3,Yes,661692,3047781
15,Yes,661692,2995968
11,Yes,661692,2976538
1,Yes,661692,3034829
28,Yes,661692,2989491
3,Yes,661692,3028352
2,Yes,661692,3008922
3,Yes,661692,3041305
8,Yes,661693,3021876
8,Yes,661693,3015399
6,Yes,661693,2983016
2,Yes,661693,3067212
6,Yes,661693,3002446
12,Yes,661693,2976539
13,Yes,661693,2995969
11,Yes,661693,3060735
3,Yes,661693,3047782
24,Yes,661693,2989492
2,Yes,661693,3028353
2,Yes,661693,3008923
3,Yes,661693,3041306
10,Yes,661694,3067213
46,Yes,661694,2970063
15,Yes,661694,3028354
11,Yes,661694,3008924
18,Yes,661694,3054259
7,Yes,661695,2976541
10,Yes,661695,2995971
5,Yes,661695,3060737
12,Yes,661695,3034831
16,Yes,661695,3054260
16,Yes,661695,2989494
34,Yes,661695,2970064
7,Yes,661696,3028602
2,Yes,661696,3035079
4,Yes,661696,3067461
4,Yes,661696,2970312
25,Yes,661696,3002695
8,Yes,661696,3048031
20,Yes,661696,2983265
6,Yes,661696,3009172
4,Yes,661696,3054508
20,Yes,661696,3041555
10,Yes,661697,2983018
26,Yes,661697,3015401
5,Yes,661697,3047784
3,Yes,661697,3028355
8,Yes,661697,3041308
21,Yes,661697,3002448
27,Yes,661697,3021878
8,Yes,661698,2976788
30,Yes,661698,2989741
6,Yes,661698,3060984
13,Yes,661698,2996218
5,Yes,661698,3015648
3,Yes,661698,3022125
35,Yes,661698,3035078
16,Yes,661699,3060983
7,Yes,661699,3048030
6,Yes,661699,3067460
7,Yes,661699,2983264
6,Yes,661699,2970311
13,Yes,661699,3015647
9,Yes,661699,3002694
6,Yes,661699,3009171
5,Yes,661699,3054507
6,Yes,661699,3028601
7,Yes,661699,3041554
12,Yes,661699,3022124
1,Yes,661700,2976787
4,Yes,661700,3009170
2,Yes,661700,3028600
2,Yes,661700,2996217
6,Yes,661700,3041553
2,Yes,661700,3035077
22,Yes,661700,2976786
12,Yes,661700,3060982
8,Yes,661700,3015646
7,Yes,661700,2983263
2,Yes,661700,2970310
2,Yes,661700,3067459
12,Yes,661700,3022123
2,Yes,661700,3054506
2,Yes,661700,2989740
9,Yes,661700,3002693
5,Yes,661700,3048029
11,Yes,661701,3067458
19,Yes,661701,3048028
5,Yes,661701,3035076
4,Yes,661701,2996216
16,Yes,661701,3009169
4,Yes,661701,2989739
11,Yes,661701,2970309
22,Yes,661701,3028599
8,Yes,661701,3054505
6,Yes,661702,3048054
16,Yes,661702,3002718
43,Yes,661702,3015671
8,Yes,661702,2983288
6,Yes,661702,3041578
5,Yes,661702,3028625
16,Yes,661702,3022148
46,Yes,661703,3015645
6,Yes,661703,2983262
15,Yes,661703,3002692
29,Yes,661703,3022122
4,Yes,661703,3041552
2,Yes,661704,2996171
5,Yes,661704,3035031
7,Yes,661704,2983217
12,Yes,661704,3047983
6,Yes,661704,3054460
6,Yes,661704,3067413
18,Yes,661704,3002647
8,Yes,661704,3009124
7,Yes,661704,2970264
