"A12"||"H"||||20|||46|||||0|3|5|0|5|10|60|70|80|55|65|75|40|52.5|65|30|40|50||39.8|||3.6|||5|||6.9|||12.5|||11.8|||37.7||||||||18|22.5|27||||1|3|5||||1.25|1.33|1.4|||||1.41|||4.23|9.17|14.11|0.11|0.13|0.14|||||22.6|||11.7|||27||0|1.5|2.9|30|32.5|35|10|12.5|15|0|1|4|".15"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312899"|"29203549"
"A2"||"H"||||46|||61|||||0|5|10|15|25|35|70|77.5|85|65|72.5|80|55|67.5|80|40|55|70||24.8|||1.9|||2.8|||4|||7.8|||8.3|||52.7||||||||18|22.5|27||||0|0.5|1||||1.15|1.23|1.3|||||1.31|||1.41|2.82|4.23|0.12|0.14|0.16|||||18.7|||8|||25||0|1.5|2.9|30|32.5|35|10|12.5|15|0|4|8|".20"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312899"|"29203550"
"B&A"||"H"||||61|||81|||||0|5|10|15|25|35|70|77.5|85|65|72.5|80|55|67.5|80|50|62.5|75||20|||3.7|||4.6|||4.3|||4.6|||2.8|||49||||||||27|31|35||||0|0.5|1||||1.15|1.23|1.3|||||1.49|||1.41|2.82|4.23|0.12|0.14|0.16|||||20.9|||10.9|||25||3|4.5|5.9|40|45|50|20|25|30|6|13|22|".17"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312899"|"29203551"
"B21t"||"H"||||81|||132|||||0|5|10|20|30|40|45|55|65|40|50|60|35|47.5|60|30|42.5|55||26.1|||1.6|||2.2|||5|||9.4|||7.9|||28.9||||||||40|45|50||||0|0.5|1||||1.15|1.23|1.3|||||1.86|||1.41|2.82|4.23|0.08|0.1|0.12|||||15.8|||11.5|||16||6|7.5|8.9|55|60|65|30|35|40|3|9|18|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|15|22.5|30|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312899"|"29203552"
"B22t&B3t"||"H"||||132|||193|||||0|5|10|10|25|40|35|50|65|30|45|60|25|40|55|10|22.5|35||54.6|||1.5|||8.9|||15|||19.2|||10|||14.4||||||||27|31|35||||0|0.5|1||||1.25|1.33|1.4|||||1.74|||4.23|9.17|14.11|0.08|0.1|0.12|||||11.9|||8.2|||14||3|4.5|5.9|40|45|50|20|25|30|0|1|4|".05"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312899"|"29203553"
"A1"||"H"||||15|||25|||||0|0|0|0|3|5|85|90|95|80|85|90|65|75|85|50|60|70||39.8|||3.6|||5|||6.9|||12.5|||11.8|||37.7||||||||18|22.5|27||||1|2|3||||1.25|1.33|1.4|||||1.4|||4.23|9.17|14.11|0.14|0.15|0.16|||||26.5|||13|||38||0|1.5|2.9|25|30|35|5|7.5|10|0|2|6|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312900"|"29203554"
"B2t"||"H"||||36|||58|||||0|3|5|0|5|10|60|70|80|55|65|75|40|55|70|30|40|50||33.6|||3|||4.2|||5.8|||10.5|||10.1|||36.9||||||||24|29.5|35||||0.5|0.75|1||||1.25|1.33|1.4|||||1.41|||14.11|28.23|42.34|0.1|0.12|0.13|||||23|||12.4|||28||0|1.5|2.9|25|35|45|5|10|15|0|0|5|".15"|".28"|3|9|15|0|0|0|0|3|5|0|0|0|15|20|25|||||||8.5|8.8|9|||||||||||||||||||||||||||||||||"10312900"|"29203555"
"B3ca"||"H"||||58|||89|||||0|5|10|20|33|45|60|70|80|55|65|75|50|60|70|35|42.5|50||35.4|||3.1|||4.4|||6.1|||11.2|||10.6|||33.6||||||||27|31|35||||0.5|0.75|1||||1.25|1.33|1.4|||||1.44|||14.11|28.23|42.34|0.1|0.11|0.12|||||18|||10|||18||0|1.5|2.9|30|37.5|45|10|12.5|15|0|2|5|".10"|".28"|3|9|15|0|0|0|0|3|5|0|1|2|15|20|25|||||||8.5|8.8|9|||||||||||||||||||||||||||||||||"10312900"|"29203556"
"IIC1ca"||"H"||||89|||152|||||0|8|15|25|40|55|40|50|60|35|45|55|15|22.5|30|5|10|15||85.7|||0.7|||10.9|||29.2|||34.7|||10.2|||4.3||||||||5|10|15||||0|0.25|0.5||||1.45|1.53|1.6|||||1.74|||42.34|91.74|141.14|0.02|0.03|0.04||7.4|||5.6|||2.2|||||0|1.5|2.9|0|12.5|25|0|2.5|5|0|0|0|".02"|".10"|15|28|40|0|0|0|0|3|5|0|1|2|5|10|15|||||||8.5|8.8|9|||||||||||||||||||||||||||||||||"10312900"|"29203557"
"Ap"||"H"||||0|||15|||||0|0|0|0|3|5|85|90|95|80|85|90|65|75|85|50|60|70||39.8|||3.6|||5|||6.9|||12.5|||11.8|||37.7||||||||18|22.5|27||||1|2|3||||1.25|1.33|1.4|||||1.4|||4.23|9.17|14.11|0.14|0.15|0.16|||||26.5|||13|||38||0|1.5|2.9|25|30|35|5|7.5|10|0|2|6|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312900"|"29203558"
