"Clay"||"57203041"|"58214484"
"Clay loam"||"57203043"|"58214486"
|"Unweathered bedrock"|"57203048"|"58214924"
"Clay loam"||"57203050"|"58215031"
"Sandy clay loam"||"57203057"|"58214789"
"Loam"||"57203059"|"58214731"
"Clay loam"||"57203066"|"58213992"
"Clay"||"57203068"|"58214164"
"Clay"||"57203073"|"58214495"
"Sandy clay loam"||"57203075"|"58214334"
"Clay"||"57203082"|"58214333"
"Clay loam"||"57203084"|"58214492"
"Loam"||"57203091"|"58214170"
|"Unweathered bedrock"|"57203093"|"58214792"
"Clay loam"||"57203098"|"58214496"
"Sandy loam"||"57203100"|"58214498"
"Clay"||"57203107"|"58214339"
"Loam"||"57203109"|"58214172"
|"Unweathered bedrock"|"57203116"|"58214501"
"Silt loam"||"57203118"|"58214962"
"Silt loam"||"57203123"|"58214006"
"Silty clay loam"||"57203125"|"58214176"
"Silt loam"||"57203132"|"58214576"
"Silt loam"||"57203134"|"58214786"
"Silt loam"||"57203141"|"58214880"
"Silt loam"||"57203143"|"58215025"
"Silty clay loam"||"57203148"|"58214882"
"Silty clay loam"||"57203150"|"58214680"
"Sandy loam"||"57203157"|"58214180"
"Sandy loam"||"57203159"|"58214008"
"Loam"||"57203166"|"58214507"
"Sandy loam"||"57203168"|"58214010"
"Very fine sandy loam"||"57203173"|"58214184"
"Loam"||"57203175"|"58214186"
"Loam"||"57203182"|"58214510"
"Loam"||"57203184"|"58214014"
"Silty clay loam"||"57203191"|"58214800"
"Silty clay"||"57203193"|"58215000"
"Very fine sandy loam"||"57203198"|"58214353"
"Very fine sandy loam"||"57203200"|"58214354"
"Silty clay loam"||"57203207"|"58214514"
"Silty clay"||"57203209"|"58214355"
"Silty clay loam"||"57203216"|"58214742"
"Coarse sandy loam"||"57203218"|"58214019"
"Coarse sandy loam"||"57203223"|"58214620"
"Silt loam"||"57203225"|"58214621"
"Silty clay loam"||"57203232"|"58214518"
"Sandy loam"||"57203234"|"58215034"
"Sandy loam"||"57203241"|"58214195"
"Very fine sandy loam"||"57203243"|"58214196"
"Very fine sandy loam"||"57203248"|"58214579"
"Fine sandy loam"||"57203250"|"58214743"
"Loam"||"57203252"|"58214744"
"Loam"||"57203257"|"58214642"
"Fine sandy loam"||"57203259"|"58214643"
"Very fine sandy loam"||"57203266"|"58214730"
"Sand"||"57203268"|"58215035"
"Coarse sandy loam"||"57203273"|"58214023"
"Coarse sandy loam"||"57203275"|"58214198"
"Silty clay"||"57202572"|"58214839"
"Silty clay loam"||"57202574"|"58214867"
"Loamy fine sand"||"57202581"|"58214418"
"Fine sandy loam"||"57202583"|"58214622"
"Silt loam"||"57202588"|"58214251"
"Loam"||"57202590"|"58214083"
|"Unweathered bedrock"|"57202597"|"58214253"
"Sandy loam"||"57202599"|"58214420"
|"Unweathered bedrock"|"57202606"|"58214089"
"Silt loam"||"57202608"|"58214587"
"Loam"||"57202613"|"58214256"
"Clay loam"||"57202615"|"58214257"
|"Unweathered bedrock"|"57202622"|"58214258"
"Loam"||"57202624"|"58214259"
"Silty clay loam"||"57202631"|"58214261"
"Sandy clay loam"||"57202633"|"58214262"
"Clay loam"||"57202638"|"58214263"
"Loamy sand"||"57202640"|"58214264"
